site	op19_log	op533_log	delta
0	-1.713508751712e+01	-1.713508751712e+01	0.000000000000
1	-1.192146235967e+02	-1.192146235967e+02	0.000000000000
2	-3.957616411095e+01	-3.957616411095e+01	0.000000000000
3	-9.531948751886e+01	-9.531948751886e+01	0.000000000000
4	-3.113082157572e+01	-3.113082157572e+01	0.000000000000
5	-5.479977358630e+01	-5.479977358630e+01	0.000000000000
6	-3.178583969934e+00	-3.178583969934e+00	0.000000000000
7	-1.176145504792e+01	-1.176145504792e+01	0.000000000000
8	-3.185487740914e+00	-3.185487740914e+00	0.000000000000
9	-2.500723123858e+01	-2.500723123858e+01	0.000000000000
10	-3.192788326934e+00	-3.192788326934e+00	0.000000000000
11	-1.068491617949e+01	-1.068491617949e+01	0.000000000000
12	-1.068893675249e+01	-1.068893675249e+01	0.000000000000
13	-5.583840819975e+01	-5.583840819975e+01	0.000000000000
14	-2.324538832528e+01	-2.324538832528e+01	0.000000000000
15	-3.196497001850e+00	-3.196497001850e+00	0.000000000000
16	-2.212927529464e+01	-2.212927529464e+01	0.000000000000
17	-2.875976182985e+01	-2.875976182985e+01	0.000000000000
18	-1.049414886228e+01	-1.049414886228e+01	0.000000000000
19	-1.619593332259e+01	-1.619593332259e+01	0.000000000000
